id,name,original_name,subtitle,category,equipment,equipment_detected,exercise_type,exercise_family,base_exercise_name,primaryMuscle,secondaryMuscles,muscleGroups,hasVideo,is_compound,difficulty_level,supersetable,duration_based,hypertrophy_rating,strength_rating,fat_loss_rating,endurance_rating,general_fitness_rating,optimal_rep_range_min,optimal_rep_range_max,recommended_sets,rest_seconds,fatigability,muscles_worked_count,priority_build_muscle,priority_get_lean,priority_home,priority_gym,complementary_families,is_equipment_primary
00d30699-1ce9-41cc-9286-0e07184e690d,V Up Hold (Bodyweight),V Up Hold,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,v_up,V Up,Abs,Hip Flexors,Abs; Hip Flexors,True,False,intermediate,True,False,7,5,5,7,6,10,15,3,60,4,2,70,88,95,65,"crunch, leg_raise, plank",False
00d762df-6515-4d9c-977e-d604f0637d4d,Lying Front Raise (Dumbbell),Lying Front Raise (Dumbbell),Shoulders - Dumbbell,Shoulders,Dumbbell,dumbbell,strength,front_raise,Front Raise,Front Delts,Upper Chest,Front Delts; Upper Chest,True,False,intermediate,True,False,9,5,5,6,6,10,15,3,60,4,2,92,90,92,90,"shoulder_press, lateral_raise, incline_bench_press",True
01089d66-3dc7-425a-a73e-d85fc4ed5b37,Bottoms Up (Bodyweight),Bottoms Up,Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,full_body_movement,Full Body Movement,Full Body,,Full Body,True,False,intermediate,True,False,7,5,5,6,3,10,15,3,60,4,2,70,88,95,65,,False
01092151-73d6-4117-9db0-14987d8fa88f,Kneeling Pulse (Bodyweight),Kneeling Pulse,Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,full_body_movement,Full Body Movement,Full Body,,Full Body,True,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,70,88,95,65,,False
011294f0-7deb-4072-bd59-c34ff1e49a72,Reverse Lunge Front Kick (Bodyweight),Reverse Lunge Front Kick,Legs - Bodyweight,Legs,Bodyweight,bodyweight,strength,reverse_lunge,Reverse Lunge,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,True,True,intermediate,True,False,8,8,8,5,9,6,12,4,90,7,4,70,88,95,65,"split_squat, step_up, squat, leg_press",False
01199d16-498e-4a29-800d-7fdf82121631,Push Up (Stability Ball),Push Up (stability Ball),Chest - Stability Ball,Chest,Bodyweight,bodyweight,strength,push_up,Push Up,Mid Chest,Front Delts; Triceps; Core,Mid Chest; Front Delts; Triceps; Core,True,True,intermediate,True,False,8,8,7,5,9,6,12,4,90,7,4,70,88,95,65,"bench_press, fly, dip, tricep_extension",True
011c8e91-7d3a-400b-95ad-f0b6e3b390f6,45 Degrees Arms Plank (Bodyweight),45 Degrees Arms Plank,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,plank,Plank,Core,Abs; Lower Back,Core; Abs; Lower Back,False,False,intermediate,True,False,7,5,5,7,6,10,15,3,60,4,2,70,88,95,65,"crunch, leg_raise, russian_twist",True
011e05b1-07ce-4f3a-b2a3-5ed6b444f4fe,Rocking Frog Stretch (Bodyweight),Rocking Frog Stretch,Stretching - Bodyweight,Stretching,Bodyweight,bodyweight,stretch,flexibility,Flexibility,,,,True,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,70,88,95,65,,False
01215a7d-8e38-4ecb-a168-01bb03915b23,Shoulder Grip Upright Row (Barbell),Shoulder Grip Upright Row (Barbell),Shoulders - Barbell,Shoulders,Barbell,barbell,strength,upright_row,Upright Row,Side Delts,Upper Traps; Front Delts,Side Delts; Upper Traps; Front Delts,False,True,intermediate,True,False,10,10,7,5,8,6,12,4,90,7,4,95,80,65,95,"lateral_raise, shrug, shoulder_press",False
0155e04b-587e-429b-ad0d-ff3967d13390,Bent Over Single Arm Triceps Kickback (Band),Bent Over Single Arm Triceps Kickback (Resistance Band),Arms - Band,Arms,Band,band,strength,tricep_kickback,Tricep Kickback,Triceps,,Triceps,False,False,advanced,True,False,7,5,5,6,6,10,15,3,60,4,2,60,85,90,50,"tricep_extension, tricep_pushdown, dip",False
015b723b-db6b-458a-88c0-12f2d98c1af6,Lateral Swing and Knee Raise (Bodyweight),Lateral Swing And Knee Raise,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,leg_raise,Leg Raise,Lower Abs,Hip Flexors; Abs,Lower Abs; Hip Flexors; Abs,False,True,intermediate,True,False,8,8,8,5,8,6,12,4,90,7,4,70,88,95,65,"crunch, plank, reverse_crunch",False
01713d44-50a0-4d09-b693-549769a7a7c3,Knee Thrust (Bodyweight),Knee Thrust (Bodyweight),Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,hip_thrust,Hip Thrust,Full Body,,Full Body,True,False,beginner,True,False,7,5,5,7,6,10,15,3,60,4,2,70,88,95,65,,False
01716994-c0d0-4a34-8c86-c74bf6885ff5,Standing Wide Stance Air Bike (Bodyweight),Standing Wide Stance Air Bike,Cardio - Bodyweight,Cardio,Bodyweight,bodyweight,cardio,cycling,Cycling,Cardio,Quads; Hamstrings,Cardio; Quads; Hamstrings,True,False,intermediate,False,True,2,2,9,10,8,1,1,1,60,7,5,70,88,95,65,,False
0192c5ab-26dc-40b3-b102-56f1a286c6ff,Straight Arm Pullover (Dumbbell),Straight Arm Pullover (Dumbbell),Chest - Dumbbell,Chest,Dumbbell,dumbbell,strength,pullover,Pullover,Mid Chest,Lats; Serratus,Mid Chest; Lats; Serratus,False,True,intermediate,True,False,9,8,7,5,8,6,12,4,90,7,4,92,90,92,90,"lat_pulldown, straight_arm_pulldown, fly",False
0198c34b-7172-4632-bc97-a7fc1b9f7f2e,Hip Thrust (Machine),Lever Hip Thrust,Legs - Machine,Legs,Machine,machine,strength,hip_thrust,Hip Thrust,Glutes,Hamstrings,Glutes; Hamstrings,False,True,beginner,True,False,8,8,7,5,8,6,12,4,90,7,4,80,75,20,88,"glute_bridge, romanian_deadlift, leg_curl",False
01999010-a7d7-4ccf-bfa0-6b6e38af4086,Paused Goblet Squat (Bodyweight),Paused Goblet Squat (Bodyweight),Legs - Bodyweight,Legs,Bodyweight,bodyweight,strength,goblet_squat,Goblet Squat,Quads,Glutes; Core,Quads; Glutes; Core,False,True,advanced,False,False,10,10,8,7,9,5,10,4,120,9,4,70,88,95,65,"leg_press, leg_extension, lunge, leg_curl",False
019c318b-3eff-4833-ba03-8a7ba1fe71d2,Rear Delt Row (Dumbbell),Rear Delt Row (Dumbbell),Shoulders - Dumbbell,Shoulders,Dumbbell,dumbbell,strength,rear_delt_fly,Rear Delt Fly,Rear Delts,Upper Back,Rear Delts; Upper Back,False,False,intermediate,True,False,10,10,5,6,6,10,15,3,60,4,2,92,90,92,90,"face_pull, lateral_raise, bent_over_row",False
01a010ca-5acc-4e23-a051-28972d6387eb,Kneeling Arnold Press (Dumbbell),Kneeling Arnold Press (Dumbbell),Shoulders - Dumbbell,Shoulders,Dumbbell,dumbbell,strength,arnold_press,Arnold Press,Front Delts,Side Delts; Triceps,Front Delts; Side Delts; Triceps,False,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,92,90,92,90,"shoulder_press, lateral_raise, front_raise",False
01a7a1c4-e76f-4b3f-b724-407f8dcbe19c,Side to Side Biceps Curl (Bodyweight),Side To Side Biceps Curl,Arms - Bodyweight,Arms,Bodyweight,bodyweight,strength,bicep_curl,Bicep Curl,Biceps,Forearms (Flexors),Biceps; Forearms (Flexors),False,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,70,88,95,65,"hammer_curl, preacher_curl, tricep_extension",False
01a8b3bf-040e-4e6a-8021-95085aba8dc6,High Knee Twist (Bodyweight),High Knee Twist,Core - Bodyweight,Core,Bodyweight,bodyweight,plyometrics,high_knees,High Knees,Obliques,,Obliques,True,False,intermediate,True,False,4,5,10,8,7,8,15,3,60,8,5,70,88,95,65,"mountain_climber, burpee, jumping_jack",False
01ac9802-897c-467a-93f1-7e6046870429,Reverse Warrior Pose (Bodyweight),Reverse Warrior Pose,Stretching - Bodyweight,Stretching,Bodyweight,bodyweight,stretch,yoga_pose,Yoga Pose,,,,True,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,70,88,95,65,,False
01bee80e-324b-4633-92b5-76224ffccabf,Single Split Stretch (Bodyweight),Single Split Stretch,Stretching - Bodyweight,Stretching,Bodyweight,bodyweight,stretch,flexibility,Flexibility,,,,False,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,70,88,95,65,,False
01e140a1-7672-4418-b4bf-f1843fc3bef8,Front Raise (Dumbbell),Front Raise (Dumbbell),Shoulders - Dumbbell,Shoulders,Dumbbell,dumbbell,strength,front_raise,Front Raise,Front Delts,Upper Chest,Front Delts; Upper Chest,False,False,intermediate,True,False,9,5,5,6,6,10,15,3,60,4,2,92,90,92,90,"shoulder_press, lateral_raise, incline_bench_press",True
01e4b23a-0fb9-4f6f-9be8-0d0bce1773c1,Opposite Arm and Leg Raise Against Wall (Bodyweight),Opposite Arm And Leg Raise Against Wall,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,leg_raise,Leg Raise,Lower Abs,Hip Flexors; Abs,Lower Abs; Hip Flexors; Abs,True,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,70,88,95,65,"crunch, plank, reverse_crunch",False
01e98633-98af-456b-8d46-833e43a561d7,Rollout (Suspension Trainer),Suspender Rollout,Full Body - Suspension Trainer,Full Body,Bodyweight,bodyweight,strength,rollout,Rollout,Full Body,,Full Body,False,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,70,88,95,65,,False
01ec02d1-3466-489d-9fe7-7f03a1c9a33a,One Arm Twisting Seated Delt Row (Band),One Arm Twisting Seated Delt Row (Band),Core - Band,Core,Band,band,strength,cable_row,Cable Row,Obliques,,Obliques,False,True,advanced,True,False,10,10,7,5,8,6,12,4,90,7,4,60,85,90,50,"lat_pulldown, face_pull, bicep_curl, rear_delt_fly",False
01fb980f-eb18-478a-9114-84036ee7a40f,Reverse Lunge From Deficit (Dumbbell),Reverse Lunge From Deficit (Dumbbell),Legs - Dumbbell,Legs,Dumbbell,dumbbell,strength,reverse_lunge,Reverse Lunge,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,False,True,advanced,True,False,9,8,8,5,9,6,12,4,90,7,4,92,90,92,90,"split_squat, step_up, squat, leg_press",False
02060d09-4a1a-454a-8cb2-1e5f52fd81ab,Side Reach Diagonal Reach (Bodyweight),Side Reach Diagonal Reach,Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,reach,Reach,Full Body,,Full Body,True,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,70,88,95,65,,False
020c7e4e-e198-4191-bfb4-48b2c1a3fb99,Front Plank with Arm Lift (Bodyweight),Front Plank With Arm Lift,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,plank,Plank,Core,Abs; Lower Back,Core; Abs; Lower Back,True,False,intermediate,True,False,7,5,5,7,6,10,15,3,60,4,2,70,88,95,65,"crunch, leg_raise, russian_twist",True
021810e0-6621-48c0-a9b6-011d325f38e0,Between Legs Throw Side Kick (Bodyweight),Between Legs Throw Side Kick,Back - Bodyweight,Back,Bodyweight,bodyweight,strength,bent_over_row,Bent Over Row,Middle Back,Lats; Rear Delts; Biceps,Middle Back; Lats; Rear Delts; Biceps,True,True,intermediate,True,False,10,10,7,5,8,6,12,4,90,7,4,70,88,95,65,"lat_pulldown, face_pull, bicep_curl, rear_delt_fly",False
021de3ac-3121-4eaf-841f-8fc296683f15,Leg Extension Glute Bridge (Bodyweight),Leg Extension Glute Bridge,Legs - Bodyweight,Legs,Bodyweight,bodyweight,strength,leg_extension,Leg Extension,Quads,,Quads,True,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,6,2,70,88,95,65,"squat, leg_press, leg_curl",False
023d9386-d66b-44e9-9aa7-20e5631c1f84,Chest Press (Machine),Lever Chest Press,Chest - Machine,Chest,Machine,machine,strength,chest_press,Chest Press,Mid Chest,Front Delts; Triceps,Mid Chest; Front Delts; Triceps,True,True,beginner,True,False,8,8,7,5,8,6,12,4,90,7,4,80,75,20,88,"bench_press, fly, tricep_pushdown",True
02915da8-9746-47d7-8895-0950e61cbe14,Easy Pose (Hands on Belly and Chest) (Bodyweight),Easy Pose (hands On Belly And Chest),Stretching - Hands on Belly and Chest,Stretching,Bodyweight,bodyweight,stretch,chest_stretch,Chest Stretch,,,,False,False,beginner,True,True,1,1,2,3,6,1,1,1,30,1,2,70,88,95,65,,False
029dca1c-859e-43c0-a41e-caf590837c75,Windmill (Bodyweight),Windmill (Bodyweight),Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,full_body_movement,Full Body Movement,Full Body,,Full Body,False,False,beginner,True,False,7,5,5,7,6,10,15,3,60,4,2,70,88,95,65,,False
02a43095-1ae4-47ed-914b-a2261049814a,Skipping (Bodyweight),Skipping (Bodyweight),Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,full_body_movement,Full Body Movement,Full Body,,Full Body,False,False,beginner,True,False,7,5,5,7,6,10,15,3,60,4,2,70,88,95,65,,False
02a58190-c43b-4114-ac09-99064d8e93a7,Lever Neck Extension (plate Loaded),Lever Neck Extension (plate Loaded),Arms - plate Loaded,Arms,Machine,machine,strength,extension,Extension,Triceps,,Triceps,False,False,beginner,True,False,8,5,5,6,6,10,15,3,60,4,2,80,75,20,88,"tricep_extension, leg_extension",False
02b244dd-c029-4b7e-b457-4404cd9a8693,Narrow to Normal Squat (Bodyweight),Narrow To Normal Squat,Back - Bodyweight,Back,Bodyweight,bodyweight,strength,bent_over_row,Bent Over Row,Middle Back,Lats; Rear Delts; Biceps,Middle Back; Lats; Rear Delts; Biceps,True,True,intermediate,False,False,10,10,8,5,9,5,10,4,120,9,4,70,88,95,65,"lat_pulldown, face_pull, bicep_curl, rear_delt_fly",False
02c7e546-78ac-4f16-b1fe-1c136fa0ab5d,Bench Press (Plate),Weighted Plate Bench Press,Chest - Plate,Chest,Bodyweight,bodyweight,strength,bench_press,Bench Press,Mid Chest,Front Delts; Triceps,Mid Chest; Front Delts; Triceps,False,True,advanced,True,False,10,10,7,5,8,5,10,4,120,7,4,70,88,95,65,"incline_bench_press, fly, tricep_pushdown, dip",False
02d5090e-229b-44b6-8df5-35994c110cd1,Standing Leg Calf Raise (Smith Machine),Smith Standing Leg Calf Raise,Legs - Smith Machine,Legs,Smith Machine,smith_machine,strength,calf_raise,Calf Raise,Calves,,Calves,True,False,intermediate,True,False,8,5,5,6,6,12,20,3,60,4,2,72,70,25,80,leg_press,False
02d87635-d6a8-4c90-bb33-50b7af17d1d8,Side Step Shoulder Circle (Bodyweight),Side Step Shoulder Circle,Shoulders - Bodyweight,Shoulders,Bodyweight,bodyweight,strength,arm_circle,Arm Circle,Side Delts,Front Delts; Rear Delts,Side Delts; Front Delts; Rear Delts,True,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,70,88,95,65,"shoulder_press, lateral_raise",False
02e3fc37-9ecc-42d3-9f51-511d184218b6,Y Press (Band),Y Press (Resistance Band),Chest - Band,Chest,Band,band,strength,press,Press,Mid Chest,,Mid Chest,False,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,60,85,90,50,"bench_press, shoulder_press",False
02e65cb7-f4b6-40cb-98fd-8530d3ff3ce4,V Up (Dumbbell),V Up (Dumbbell),Core - Dumbbell,Core,Dumbbell,dumbbell,strength,v_up,V Up,Abs,Hip Flexors,Abs; Hip Flexors,True,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,92,90,92,90,"crunch, leg_raise, plank",False
02e94c2b-bd99-4f06-b88b-0cb03dda7492,Lying Woodchop (Kettlebell),Lying Woodchop (Kettlebell),Core - Kettlebell,Core,Kettlebell,kettlebell,plyometrics,woodchop,Woodchop,Obliques,Core; Abs,Obliques; Core; Abs,False,True,intermediate,True,False,4,5,9,8,7,8,15,3,60,8,5,75,85,85,78,"russian_twist, oblique_crunch, plank",False
02f4b039-f789-4eee-b8bc-24e161d6bd60,Squat on a Padded Stool (Bodyweight),Squat On A Padded Stool,Legs - Bodyweight,Legs,Bodyweight,bodyweight,strength,squat,Squat,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,True,True,intermediate,False,False,10,10,8,5,9,5,10,4,120,9,4,70,88,95,65,"leg_press, leg_extension, lunge, leg_curl",False
02f76ed7-9a7a-4e8e-b682-bc77031ac7b3,Reverse Crunch (Band),Reverse Crunch (Resistance Band),Core - Band,Core,Band,band,strength,reverse_crunch,Reverse Crunch,Abs,,Abs,True,False,intermediate,True,False,7,5,5,6,6,12,20,3,60,4,2,60,85,90,50,"leg_raise, plank, russian_twist",False
02f7a43a-5245-4ce7-accf-91b57b74ae18,Decline Close Grip Bench Press (Smith Machine),Smith Machine Decline Close Grip Bench Press,Chest - Smith Machine,Chest,Smith Machine,smith_machine,strength,decline_bench_press,Decline Bench Press,Mid Chest,,Mid Chest,False,True,beginner,True,False,10,10,7,5,8,5,10,4,120,7,4,72,70,25,80,"bench_press, dip, fly",False
030185eb-16a1-498c-877e-67d1cccca7d8,EZ (barbell) Anti Gravity Press (Barbell),EZ (Barbell) Anti Gravity Press,Chest - barbell,Chest,Barbell,barbell,strength,press,Press,Mid Chest,,Mid Chest,True,False,intermediate,True,False,8,6,5,6,6,10,15,3,60,4,2,95,80,65,95,"bench_press, shoulder_press",False
031b0c00-f263-4ad9-a88e-22cb7fa2ce85,Seated Extended Leg Raise on a Chair (Bodyweight),Seated Extended Leg Raise On A Chair,Core - Bodyweight,Core,Bodyweight,bodyweight,strength,leg_raise,Leg Raise,Lower Abs,Hip Flexors; Abs,Lower Abs; Hip Flexors; Abs,True,False,beginner,True,False,8,5,5,6,6,10,15,3,60,4,2,70,88,95,65,"crunch, plank, reverse_crunch",False
031bbd65-19f3-4bc7-887a-418a52bf3329,Low Fly (Cable),Low Fly (Cable),Chest - Cable,Chest,Cable,cable,strength,fly,Chest Fly,Mid Chest,Front Delts,Mid Chest; Front Delts,False,False,intermediate,True,False,8,5,5,6,6,12,20,3,60,4,2,85,88,30,92,"bench_press, incline_fly, push_up",False
03333ae8-72ce-4be9-b561-1bc30e9a0d52,Shoulder Rotation Twist Split Lunge Stretch (Bodyweight),Shoulder Rotation Twist Split Lunge Stretch,Legs - Bodyweight,Legs,Bodyweight,bodyweight,stretch,shoulder_stretch,Shoulder Stretch,Quads,,Quads,True,True,beginner,True,True,1,1,8,3,9,1,1,1,30,1,2,70,88,95,65,,False
034943be-8546-49c2-a258-1247916aebe7,Seated Wrist Rotation (Bodyweight),Seated Wrist Rotation,Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,strength,rotation,Rotation,Full Body,,Full Body,True,False,intermediate,True,False,7,5,5,6,6,10,15,3,60,4,2,70,88,95,65,,False
0350a46b-6dff-4e67-967c-c29f6ec01326,Hollow Rock (Dumbbell),Hollow Rock (Dumbbell),Full Body - Dumbbell,Full Body,Dumbbell,dumbbell,strength,full_body_movement,Full Body Movement,Full Body,,Full Body,True,False,intermediate,True,False,8,5,5,6,6,10,15,3,60,4,2,92,90,92,90,,False
035e3807-f834-4547-a780-053eff490d2e,Chin Up (Bodyweight),Chin Up,Back - Bodyweight,Back,Bodyweight,bodyweight,strength,chin_up,Chin Up,Lats,Biceps; Upper Back,Lats; Biceps; Upper Back,True,True,intermediate,True,False,8,8,7,5,8,6,12,4,90,7,4,70,88,95,65,"lat_pulldown, bent_over_row, bicep_curl",True
036bdc3a-edd4-4782-91ce-f5901fc6fa1a,Linear Hack Squat (Machine),Lever Linear Hack Squat,Legs - Machine,Legs,Machine,machine,strength,hack_squat,Hack Squat,Quads,Glutes; Hamstrings,Quads; Glutes; Hamstrings,False,True,beginner,False,False,10,10,8,5,9,5,10,4,120,9,4,80,75,20,88,"leg_press, leg_extension, lunge, leg_curl",True
036c8bd3-7092-47d1-9d05-c73dd00f55cf,"Twist (Cable, Up Down)",Twist (up Down) (Cable),"Core - Cable, Up Down",Core,Cable,cable,strength,russian_twist,Russian Twist,Core,Abs,Core; Abs,False,False,intermediate,True,False,8,5,5,6,6,12,20,3,60,4,2,85,88,30,92,"crunch, plank",False
037257f8-2865-40d3-874c-363431208fdb,Incline Chest Press (Band),Incline Chest Press (Band),Chest - Band,Chest,Band,band,strength,incline_chest_press,Incline Chest Press,Mid Chest,,Mid Chest,False,True,intermediate,True,False,8,8,7,5,8,6,12,4,90,7,4,60,85,90,50,"bench_press, fly, tricep_pushdown",False
0372fbbd-92e7-4e65-9a39-4e0bd1cf16e2,Box Drop Jump (Bodyweight),Box Drop Jump,Full Body - Bodyweight,Full Body,Bodyweight,bodyweight,plyometrics,jump,Jump,Full Body,,Full Body,True,False,intermediate,True,False,4,5,9,8,7,8,15,3,60,8,5,70,88,95,65,,False
