_ROW_TYPE,_ISSUES,_NEEDS_REVIEW,id,name,category,equipment,primary_muscles,secondary_muscles,description,video_code,video_filename,gender,is_custom,created_at,steps_to_perform,movement_pattern,force_type,movement_type,laterality,plane_of_motion,difficulty_level,complexity_score,strength_rating,hypertrophy_rating,power_rating,endurance_rating,body_position,bench_angle,grip_type,grip_width,optimal_rep_range_min,optimal_rep_range_max,placement_in_workout,fatigability,popularity_score,home_gym_friendly,instructions,workout_type,practicality_score,fat_loss_rating,general_fitness_rating,is_compound,supersetable,exercise_family,base_exercise_name,complementary_families,is_equipment_primary,equipment_category,duration_based,recommended_sets,rest_seconds,muscles_worked_count,priority_build_muscle,priority_get_lean,priority_home,priority_gym
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,6de36bf8-e619-4ba4-9792-53f78f97c544,Goblet Squat With Calf Raise (Dumbbell),Legs,Dumbbells,['Quads'],"['Glutes', 'Hamstrings']","Build stronger calves with this targeted squatting exercise. The glutes, hamstrings assist throughout the movement, making this a well-rounded exercise. Dumbbells allow each arm to work independently, helping correct imbalances. Strong legs are the foundation for athletic performance and functional fitness.",74691201,74691201-Dumbbell-Goblet-Squat-with-Calf-Raise_Thighs_.mp4,male,False,2025-12-03T23:26:25.233728+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Goblet Squat With Calf Raise. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Continue for your target rep count, maintaining good form throughout.",Squat,,,,,2,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,goblet_squat,Goblet Squat With Calf Raise,"squat, front_squat, lunge",True,dumbbell,False,3,60,2,92,90,92,90
SUGGESTED_FIX,,,6de36bf8-e619-4ba4-9792-53f78f97c544,Goblet Squat With Calf Raise (Dumbbell),Legs,Dumbbells,['Calves'],"['Glutes', 'Hamstrings']","Build stronger calves with this targeted squatting exercise. The glutes, hamstrings assist throughout the movement, making this a well-rounded exercise. Dumbbells allow each arm to work independently, helping correct imbalances. Strong legs are the foundation for athletic performance and functional fitness.",74691201,74691201-Dumbbell-Goblet-Squat-with-Calf-Raise_Thighs_.mp4,male,False,2025-12-03T23:26:25.233728+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Goblet Squat With Calf Raise. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Continue for your target rep count, maintaining good form throughout.",Squat,,,,,2,,5,7,,6,,,,,12,20,,4,,True,,Strength,100,5,7,False,True,goblet_squat,Goblet Squat With Calf Raise,"squat, front_squat, lunge",True,dumbbell,False,3,60,2,92,90,92,90
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,c9878350-e276-4cbc-9440-b8ec316daf5e,Lever Seated Single Leg Squat Calf Raise On Leg Press Machine,Legs,"Leg Press Machine, Calf Raise Machine",['Quads'],"['Glutes', 'Hamstrings']","Build stronger calves with this targeted pressing exercise. Secondary activation of your glutes, hamstrings provides additional muscle engagement. Being seated provides stability, allowing you to focus on the working muscles. The machine guides your movement path for safer, more controlled repetitions. Leg training boosts metabolism and builds functional, real-world strength.",71091201,71091201-Lever-Seated-Single-Leg-Squat-Calf-Raise-on-Leg-Press-Machine-(female)_Calves_.mp4,female,False,2025-12-03T23:26:34.855778+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Seated Single Leg Squat Calf Raise On Leg Press Machine. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Position your feet on the platform and release the safety. 4. Lower the weight by bending your knees, then press back up powerfully. 5. Complete all reps on one side, then switch to the other side. 6. Continue for your target rep count, maintaining good form throughout.",Squat,,,,,1,,5,7,,6,Seated,,,,12,20,,4,,True,,Strength,100,5,7,False,True,pistol_squat,Lever Seated Single Leg Squat Calf Raise On Leg Press,"squat, bench_press, deadlift",False,machine,False,3,60,2,80,75,20,88
SUGGESTED_FIX,,,c9878350-e276-4cbc-9440-b8ec316daf5e,Lever Seated Single Leg Squat Calf Raise On Leg Press Machine,Legs,"Leg Press Machine, Calf Raise Machine",['Calves'],"['Glutes', 'Hamstrings']","Build stronger calves with this targeted pressing exercise. Secondary activation of your glutes, hamstrings provides additional muscle engagement. Being seated provides stability, allowing you to focus on the working muscles. The machine guides your movement path for safer, more controlled repetitions. Leg training boosts metabolism and builds functional, real-world strength.",71091201,71091201-Lever-Seated-Single-Leg-Squat-Calf-Raise-on-Leg-Press-Machine-(female)_Calves_.mp4,female,False,2025-12-03T23:26:34.855778+00:00,"1. Adjust the machine settings (seat height, weight, pads) to fit your body for Lever Seated Single Leg Squat Calf Raise On Leg Press Machine. 2. Sit with your back supported, core engaged, feet flat on the floor. 3. Position your feet on the platform and release the safety. 4. Lower the weight by bending your knees, then press back up powerfully. 5. Complete all reps on one side, then switch to the other side. 6. Continue for your target rep count, maintaining good form throughout.",Squat,,,,,1,,5,7,,6,Seated,,,,12,20,,4,,True,,Strength,100,5,7,False,True,pistol_squat,Lever Seated Single Leg Squat Calf Raise On Leg Press,"squat, bench_press, deadlift",False,machine,False,3,60,2,80,75,20,88
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,2fb74bbb-317d-4820-b4ad-88b16ea83e85,Calf Forward Jump,Legs,Bodyweight,['Quads'],"['Glutes', 'Calves']","A challenging plyometric exercise, the Calf Forward Jump builds reactive power and improves conditioning. Your quads, calves work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Great for improving athletic performance, burning calories, and building conditioning.",107561201,107561201-Calf-Forward-Jump-(female)_Plyometrics_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Set up in the starting position for Calf Forward Jump. 2. Execute the movement with proper form, focusing on your full body. 3. Control both the lifting and lowering phases of the movement. 4. Complete all reps with control before resting.",,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,50,9,8,True,True,general_exercise,Calf Forward Jump,"squat, bench_press, deadlift",False,bodyweight,False,3,60,4,70,88,95,65
SUGGESTED_FIX,,,2fb74bbb-317d-4820-b4ad-88b16ea83e85,Calf Forward Jump,Legs,Bodyweight,['Calves'],"['Glutes', 'Calves']","A challenging plyometric exercise, the Calf Forward Jump builds reactive power and improves conditioning. Your quads, calves work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Great for improving athletic performance, burning calories, and building conditioning.",107561201,107561201-Calf-Forward-Jump-(female)_Plyometrics_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Set up in the starting position for Calf Forward Jump. 2. Execute the movement with proper form, focusing on your full body. 3. Control both the lifting and lowering phases of the movement. 4. Complete all reps with control before resting.",,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,50,9,8,True,True,general_exercise,Calf Forward Jump,"squat, bench_press, deadlift",False,bodyweight,False,3,60,4,70,88,95,65
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,388bca5c-a22d-4df6-8072-d8704b8627e8,Calf Side To Side Jump,Legs,Bodyweight,['Quads'],"['Glutes', 'Calves']","Build power and athleticism with this high-intensity jumping exercise that challenges your entire body. The quads, calves assist throughout the movement, making this a well-rounded exercise. This bodyweight exercise requires no equipment and can be done anywhere. Plyometric training builds explosive power that transfers to sports and daily activities.",107571201,107571201-Calf-Side-to-Side-Jump-(female)_Plyometrics_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Set up in the starting position for Calf Side To Side Jump. 2. Execute the movement with proper form, focusing on your full body. 3. Control both the lifting and lowering phases of the movement. 4. Repeat for the prescribed number of repetitions.",,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,50,9,8,True,True,general_exercise,Calf Side To Side Jump,"squat, bench_press, deadlift",False,bodyweight,False,3,60,4,70,88,95,65
SUGGESTED_FIX,,,388bca5c-a22d-4df6-8072-d8704b8627e8,Calf Side To Side Jump,Legs,Bodyweight,['Calves'],"['Glutes', 'Calves']","Build power and athleticism with this high-intensity jumping exercise that challenges your entire body. The quads, calves assist throughout the movement, making this a well-rounded exercise. This bodyweight exercise requires no equipment and can be done anywhere. Plyometric training builds explosive power that transfers to sports and daily activities.",107571201,107571201-Calf-Side-to-Side-Jump-(female)_Plyometrics_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. Set up in the starting position for Calf Side To Side Jump. 2. Execute the movement with proper form, focusing on your full body. 3. Control both the lifting and lowering phases of the movement. 4. Repeat for the prescribed number of repetitions.",,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,50,9,8,True,True,general_exercise,Calf Side To Side Jump,"squat, bench_press, deadlift",False,bodyweight,False,3,60,4,70,88,95,65
ORIGINAL,MUSCLE: Glute exercise incorrectly labeled as Chest,YES,845b329a-a48e-43b9-a68f-9dc98357fbd5,Glute Bridge Chest Press (Dumbbell),Chest,Dumbbells,"['Glutes', 'Chest']","['Triceps', 'Front Delts']","This pressing exercise focuses on your pectorals for improved chest strength and development. The hamstrings assist throughout the movement, making this a well-rounded exercise. The dumbbell variation provides freedom of movement and greater range of motion. Chest strength improves pushing power for sports, daily tasks, and other lifts.",79941201,79941201-Dumbbell-Glute-Bridge-Chest-Press-(male)_Chest_.mp4,male,False,2025-12-03T23:26:24.831811+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Glute Bridge Chest Press. 2. Lower the weight toward your chest with control. 3. Press the weight up until your arms are extended (don't lock elbows). 4. Continue for your target rep count, maintaining good form throughout.",,,,,,3,,7,8,,5,,,,,8,12,,6,,True,,Strength,82,7,8,True,True,glute_bridge,Glute Bridge Chest Press,"hip_thrust, romanian_deadlift",False,dumbbell,False,3,90,4,92,90,92,90
SUGGESTED_FIX,,,845b329a-a48e-43b9-a68f-9dc98357fbd5,Glute Bridge Chest Press (Dumbbell),Chest,Dumbbells,['Glutes'],"['Triceps', 'Front Delts']","This pressing exercise focuses on your pectorals for improved chest strength and development. The hamstrings assist throughout the movement, making this a well-rounded exercise. The dumbbell variation provides freedom of movement and greater range of motion. Chest strength improves pushing power for sports, daily tasks, and other lifts.",79941201,79941201-Dumbbell-Glute-Bridge-Chest-Press-(male)_Chest_.mp4,male,False,2025-12-03T23:26:24.831811+00:00,"1. Select a pair of dumbbells at an appropriate weight for Dumbbell Glute Bridge Chest Press. 2. Lower the weight toward your chest with control. 3. Press the weight up until your arms are extended (don't lock elbows). 4. Continue for your target rep count, maintaining good form throughout.",,,,,,3,,7,8,,5,,,,,8,12,,6,,True,,Strength,82,7,8,True,True,glute_bridge,Glute Bridge Chest Press,"hip_thrust, romanian_deadlift",False,dumbbell,False,3,90,4,92,90,92,90
ORIGINAL,MUSCLE: Squat incorrectly labeled as Chest (should be Quads/Glutes),YES,4a5f0173-5a3e-4aee-a71f-179527378ff7,Chest Fly Plyo Squat,Legs,Bodyweight,['Chest'],['Front Delts'],"Build stronger quads with this squatting movement that develops leg drive and power. Your front delts work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Strong legs are the foundation for athletic performance and functional fitness.",60851201,60851201-Chest-Fly-Plyo-Squat-(female)_Hips_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. With a slight bend in your elbows, move the weight in a wide arc. 2. Squeeze your chest muscles at the center/top of the movement. 3. Return with control, feeling the stretch at the bottom. 4. Repeat for the prescribed number of repetitions. Ensure full range of motion on each rep.",Squat,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,100,9,8,True,True,chest_fly,Chest Fly Plyo Squat,"bench_press, incline_press, push_up",False,bodyweight,False,3,60,4,70,88,95,65
SUGGESTED_FIX,,,4a5f0173-5a3e-4aee-a71f-179527378ff7,Chest Fly Plyo Squat,Legs,Bodyweight,"['Quads', 'Glutes']",['Front Delts'],"Build stronger quads with this squatting movement that develops leg drive and power. Your front delts work as secondary movers, adding to the training stimulus. A versatile bodyweight movement perfect for home or gym training. Strong legs are the foundation for athletic performance and functional fitness.",60851201,60851201-Chest-Fly-Plyo-Squat-(female)_Hips_.mp4,female,False,2025-12-03T23:26:32.166461+00:00,"1. With a slight bend in your elbows, move the weight in a wide arc. 2. Squeeze your chest muscles at the center/top of the movement. 3. Return with control, feeling the stretch at the bottom. 4. Repeat for the prescribed number of repetitions. Ensure full range of motion on each rep.",Squat,,,,,3,,5,4,,8,,,,,8,12,,7,,True,,Plyometrics,100,9,8,True,True,chest_fly,Chest Fly Plyo Squat,"bench_press, incline_press, push_up",False,bodyweight,False,3,60,4,70,88,95,65
ORIGINAL,MUSCLE: Calf exercise missing Calves as primary,YES,02ae2237-26d7-4ab3-b036-15cb7cbb8c9b,Chair Squat Calf Rock,Legs,Chair,['Quads'],"['Glutes', 'Hamstrings']","This squatting movement focuses on your gastrocnemius and soleus. Your glutes, hamstrings work as secondary movers, adding to the training stimulus. Leg training boosts metabolism and builds functional, real-world strength.",89481201,89481201-Chair-Squat-Calf-Rock-(male)_Calves_.mp4,male,False,2025-12-03T23:26:20.667107+00:00,"1. Position yourself with a sturdy chair for support or as part of the movement. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Complete all reps with control before resting. Keep the movement smooth and controlled.",Squat,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,70,5,7,False,True,squat,Chair Squat Calf Rock,"leg_press, front_squat, goblet_squat, lunge, leg_extension",False,bodyweight,False,3,60,2,70,88,95,65
SUGGESTED_FIX,,,02ae2237-26d7-4ab3-b036-15cb7cbb8c9b,Chair Squat Calf Rock,Legs,Chair,['Calves'],"['Glutes', 'Hamstrings']","This squatting movement focuses on your gastrocnemius and soleus. Your glutes, hamstrings work as secondary movers, adding to the training stimulus. Leg training boosts metabolism and builds functional, real-world strength.",89481201,89481201-Chair-Squat-Calf-Rock-(male)_Calves_.mp4,male,False,2025-12-03T23:26:20.667107+00:00,"1. Position yourself with a sturdy chair for support or as part of the movement. 2. Push your hips back and bend your knees to lower your body. 3. Keep your chest up and knees tracking over your toes. 4. Drive through your heels to stand back up, squeezing your glutes at the top. 5. Complete all reps with control before resting. Keep the movement smooth and controlled.",Squat,,,,,3,,5,7,,6,,,,,12,20,,4,,True,,Strength,70,5,7,False,True,squat,Chair Squat Calf Rock,"leg_press, front_squat, goblet_squat, lunge, leg_extension",False,bodyweight,False,3,60,2,70,88,95,65
ORIGINAL,MUSCLE: Lunge incorrectly labeled as Chest (should be Quads/Glutes),YES,4b0d7d0f-7f86-4a28-9422-6f43251f28db,Push Up Alternate Rear Lunge (Against Wall),Legs,Wall,['Chest'],"['Triceps', 'Front Delts']","Target your chest with the Push Up Alternate Rear Lunge Against Wall, an effective pushing movement for upper body strength. The triceps, front delts assist throughout the movement, making this a well-rounded exercise. Chest strength improves pushing power for sports, daily tasks, and other lifts.",76791201,76791201-Push-up-Alternate-Rear-Lunge-against-Wall-(male)_C.mp4,male,False,2025-12-03T23:26:22.755209+00:00,1. Position yourself at the appropriate distance from a wall. 2. Keep your body in a straight line from head to heels throughout. 3. Lower your chest toward the floor by bending your elbows. 4. Push through your palms to return to the starting position. 5. Complete all reps with control before resting. Control the movement—avoid using momentum.,,,,,,2,,7,7,,5,,,,,8,12,,6,,True,,Strength,62,7,8,True,True,push_up,Push Up Alternate Rear Lunge Against Wall,"bench_press, chest_fly, dip",True,bodyweight,False,3,90,4,70,88,95,65
SUGGESTED_FIX,,,4b0d7d0f-7f86-4a28-9422-6f43251f28db,Push Up Alternate Rear Lunge (Against Wall),Legs,Wall,"['Quads', 'Glutes']","['Triceps', 'Front Delts']","Target your chest with the Push Up Alternate Rear Lunge Against Wall, an effective pushing movement for upper body strength. The triceps, front delts assist throughout the movement, making this a well-rounded exercise. Chest strength improves pushing power for sports, daily tasks, and other lifts.",76791201,76791201-Push-up-Alternate-Rear-Lunge-against-Wall-(male)_C.mp4,male,False,2025-12-03T23:26:22.755209+00:00,1. Position yourself at the appropriate distance from a wall. 2. Keep your body in a straight line from head to heels throughout. 3. Lower your chest toward the floor by bending your elbows. 4. Push through your palms to return to the starting position. 5. Complete all reps with control before resting. Control the movement—avoid using momentum.,,,,,,2,,7,7,,5,,,,,8,12,,6,,True,,Strength,62,7,8,True,True,push_up,Push Up Alternate Rear Lunge Against Wall,"bench_press, chest_fly, dip",True,bodyweight,False,3,90,4,70,88,95,65
